p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
6.710617045173773e-304,-10.136833981743639,0.002,0.522,1.373529096806168e-299,Chad
1.0191480404500927e-282,-7.834071267846388,0.014,0.754,2.0859922091932496e-278,Cilp2
1.1934455049608322e-261,-7.268217590072936,0.005,0.551,2.4427442595538313e-257,Ptx4
6.033984545380932e-243,-7.172540185748472,0.006,0.536,1.2350359567485692e-238,Chodl
1.9210295215820497e-188,-9.424580141074188,0.002,0.348,3.9319632247741395e-184,Myoc
8.254509234632555e-153,-7.185990492209937,0.01,0.449,1.6895329501445916e-148,Crispld1
1.3723358623765568e-152,-7.240534031387222,0.02,0.58,2.8088970431123365e-148,Angptl7
3.7499189563905085e-136,-6.367246966008236,0.006,0.348,7.675334119940092e-132,Vit
1.245777979103598e-134,-6.195928729266057,0.015,0.478,2.5498583676292445e-130,Meox1
1.986262579832931e-123,-6.309796693824336,0.005,0.319,4.0654822484020434e-119,Dapk2
1.7908234794831665e-121,-5.696533084339796,0.011,0.406,3.665457497806145e-117,Spock2
3.64025995097195e-120,-6.0512636802254836,0.016,0.464,7.450884067649387e-116,Tnxb
4.8752282027071815e-117,-6.190215078071663,0.006,0.319,9.97861708530106e-113,Tmem204
1.1031968559034018e-101,-6.348477161988396,0.006,0.29,2.2580233246630828e-97,Hmcn2
2.9029763878703724e-101,-4.4641248402156295,0.05,0.667,5.941812070693079e-97,Klhl29
5.773928326275622e-101,-5.8802596248503765,0.007,0.304,1.1818076498220943e-96,Insc
4.6614902004411763e-98,-5.346455164403183,0.01,0.348,9.541138142262999e-94,Fam49a
1.939282358050066e-95,-4.138684777431581,0.046,0.638,3.9693231304568746e-91,Ifngr1
1.0831344843007856e-93,-4.954137741624423,0.1,0.841,2.216959662466848e-89,Tsc22d3
3.9630130328031045e-92,-6.42313816690028,0.004,0.232,8.111495075541394e-88,Col13a1
8.663967343688741e-92,-6.899435681754965,0.006,0.275,1.7733408359062115e-87,Col22a1
1.3551072756892052e-88,-5.479721695266647,0.01,0.319,2.773633571880665e-84,Zbtb16
3.271599296468843e-85,-7.287076617324253,0.001,0.159,6.696309440012427e-81,D630003M21Rik
3.3846414572758e-85,-7.18016141340774,0.001,0.159,6.927684134752108e-81,Necab1
4.5281746772304805e-83,-6.595198912686584,0.002,0.174,9.268267929355348e-79,Gm15261
3.4239436769758876e-79,-4.0447846385501,0.047,0.58,7.008127918034247e-75,Kazald1
2.2589958897618865e-76,-5.645059427213309,0.031,0.464,4.623712787164629e-72,Sparcl1
4.474546828516229e-76,-6.101210072012918,0.004,0.203,9.158502448607018e-72,9330159F19Rik
1.0692565854675942e-74,-5.032262718295427,0.009,0.275,2.1885543791350718e-70,Nlgn1
1.8144101950230033e-74,-4.386612290875167,0.031,0.464,3.7137347871730833e-70,Cntfr
1.8485188805288926e-74,-5.064684195987805,0.011,0.304,3.7835484446665375e-70,Hopx
3.47950033784248e-74,-6.302843933182569,0.002,0.159,7.121841291495988e-70,Ptprt
4.818687963363007e-74,-6.427254275372512,0.002,0.174,9.862890523411404e-70,Reln
2.3775903239561357e-72,-4.492140954520716,0.09,0.725,4.866451875073419e-68,Ckb
2.881847981596936e-71,-5.686172572734074,0.003,0.188,5.8985664487326086e-67,Lrrn2
3.7151369130485705e-70,-5.645731646705578,0.011,0.29,7.604142233627815e-66,Abca8a
9.053052627672367e-70,-5.479721695266647,0.005,0.217,1.85297881183198e-65,Itga2
1.0659454270770994e-66,-5.858233318520378,0.003,0.174,2.181777100141407e-62,Rilp
3.4086490271422107e-65,-6.089775176950634,0.005,0.203,6.976822828754677e-61,Ntm
4.365372262589201e-65,-5.567184536516988,0.005,0.203,8.935043947067576e-61,Grik4
1.2100932184639334e-64,-3.820465412198178,0.059,0.58,2.4768187995519787e-60,Lpl
9.832734833492659e-64,-4.651902670649329,0.019,0.348,2.0125641657192775e-59,Itih5
1.5202950805792469e-63,-7.064684195987805,0.001,0.116,3.1117399709296024e-59,Lepr
1.5202950805792469e-63,-7.064684195987805,0.001,0.116,3.1117399709296024e-59,Lama3
1.5738824101372587e-63,-7.287076617324253,0.001,0.116,3.221422517068941e-59,Fgf9
2.408643024311939e-62,-4.357731170888037,0.016,0.319,4.930010542161677e-58,Dgkb
1.3207857557095757e-59,-3.9942948680964063,0.037,0.449,2.7033842847863595e-55,Ppfibp2
1.386815169800793e-57,-6.18016141340774,0.002,0.145,2.8385332895482636e-53,Vipr2
2.1775491447474652e-57,-4.309796693824336,0.029,0.391,4.457007589469111e-53,P3h2
2.0048950522998314e-56,-5.302843933182569,0.007,0.217,4.103619193047295e-52,Gm17167
5.22612897148357e-56,-5.827644998686955,0.003,0.159,1.0696840778832571e-51,Jam2
6.470090907326974e-56,-3.208012955867021,0.114,0.725,1.324298206911685e-51,Lamb2
2.6917789561236987e-55,-5.020290076629351,0.012,0.261,5.509533167393987e-51,Ntng1
1.2950708064338503e-54,-4.835865505491923,0.008,0.217,2.650750926608805e-50,Plcd3
5.306023280066489e-54,-5.2573292739302,0.006,0.188,1.086036844964009e-49,Wfdc1
3.284183273449415e-53,-4.636447198954102,0.014,0.275,6.722066324096263e-49,Bmp5
7.315860360737645e-53,-4.588745589021503,0.057,0.507,1.497410298635781e-48,Fbln7
1.0371298039513828e-52,-6.3277186018216,0.001,0.116,2.1227972827276902e-48,Rnf165
2.0552450388039895e-51,-6.0926985721574,0.005,0.174,4.2066755454240055e-47,Rgs6
2.842959701538294e-50,-3.8552308303588543,0.015,0.275,5.81896991710858e-46,Rapgef4
9.990358902437988e-50,-6.833358649881349,0.002,0.13,2.0448266601510072e-45,C7
1.1113679111464947e-49,-4.751023717084042,0.018,0.29,2.2747478405346454e-45,Abca8b
1.1186571805789193e-49,-6.287076617324253,0.002,0.13,2.2896675172089322e-45,Cox8b
4.29910792219155e-49,-4.95688090645329,0.032,0.377,8.799414095141664e-45,Ccdc3
9.537211956181199e-49,-7.287076617324253,0.001,0.101,1.9520765431911678e-44,Atp1a2
1.0770173396473513e-48,-6.479721695266648,0.001,0.101,2.2044390907901986e-44,Sox8
1.1213092731233047e-48,-6.3277186018216,0.001,0.101,2.29509582022878e-44,Ppl
1.227955687413096e-48,-5.801649790154011,0.003,0.145,2.513379700997125e-44,Ntf3
1.91502097037448e-48,-3.571352170732216,0.034,0.391,3.9196649221624856e-44,Col11a2
4.085091397019092e-48,-5.177158925246217,0.011,0.232,8.361365071418677e-44,Etv4
4.706164331012819e-48,-4.0771751401710015,0.063,0.507,9.632577152717038e-44,Id2
2.2570963205284687e-47,-4.254301581232633,0.049,0.449,4.61982474885767e-43,Txnip
2.47136002037651e-47,-5.064684195987804,0.007,0.188,5.058379689706641e-43,Itga8
7.873129974710759e-46,-4.44019333108001,0.019,0.29,1.611472243223798e-41,Ramp1
9.381922269454608e-46,-4.763514661267239,0.007,0.188,1.920291850111969e-41,Pstpip1
4.961496580522424e-45,-6.894759194545492,0.001,0.087,1.0155191201013297e-40,Galnt15
5.071219574672607e-45,-6.702114116603097,0.001,0.087,1.0379772225439892e-40,Tmem52
3.229308002546554e-44,-3.8414783282294103,0.845,1,6.6097476196122866e-40,Cst3
3.2533987043804134e-44,-6.617225219016584,0.001,0.101,6.65905646812583e-40,Olfml2a
1.0311206159165675e-43,-3.5933784770622155,0.217,0.812,2.1104976766580303e-39,Prelp
2.4149529874526037e-43,-5.160443178793234,0.029,0.333,4.9429257747179895e-39,Kirrel3
2.8958838560820553e-43,-3.784576276795069,0.02,0.29,5.927295076628751e-39,Daam2
6.121967525390425e-43,-4.977221354737464,0.005,0.159,1.2530443130969123e-38,Hoxd11
8.092616009655083e-43,-3.4132262834797413,0.069,0.507,1.6563966448562025e-38,Lysmd2
1.098824318031216e-42,-3.2523111991635756,0.235,0.841,2.2490736141462928e-38,Apod
4.89575574794127e-42,-7.287076617324253,0,0.072,1.0020632864886192e-37,Smtnl2
4.89575574794127e-42,-7.287076617324253,0,0.072,1.0020632864886192e-37,Tmem200c
5.339720728056543e-42,-3.0998321396819137,0.204,0.783,1.0929340386186132e-37,Ptgis
5.5621613613803943e-42,-4.653751095041697,0.011,0.217,1.1384631874473391e-37,Limch1
6.796305186443653e-42,-5.801649790154011,0.002,0.116,1.391067745561287e-37,Rasl10a
1.578973752216459e-41,-3.7069824643143336,0.09,0.565,3.2318434760366484e-37,Kera
1.6231988157752964e-41,-5.605252577350506,0.003,0.13,3.322363336128877e-37,Prcd
1.6231988157752964e-41,-5.720729794770442,0.003,0.13,3.322363336128877e-37,Atp8a2
1.8460668281242146e-41,-5.3541908131827896,0.003,0.13,3.7785295838046425e-37,Arhgap20
