"id","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","call"
"ENSMUSG00000000001","Gnai3",1489.83039473812,0.278342545773641,0.148278135256423,1.87716513491549,0.0604954644169651,0.324515028500666,"NS"
"ENSMUSG00000000028","Cdc45",1748.93543947799,0.221671461192059,0.128834706409713,1.72058808817487,0.0853255965202225,0.385577583335269,"NS"
"ENSMUSG00000000031","H19",2151.87714834971,0.135823090867154,0.284312943201273,0.477723909920631,0.632846724174078,0.866811538093235,"NS"
"ENSMUSG00000000037","Scml2",24.9167228731647,0.599541831727799,0.562067143084802,1.06667297511348,0.286119534713338,NA,"NS"
"ENSMUSG00000000049","Apoh",7.78376614806552,-1.22725761995526,1.14832718177471,-1.06873514746779,0.285189029258822,NA,"NS"
"ENSMUSG00000000056","Narf",19653.5403039854,-0.201183004375299,0.167343650286241,-1.20221474810174,0.229280336744526,0.596344693190401,"NS"
"ENSMUSG00000000078","Klf6",951.442013560945,-0.130814732113045,0.165909610060673,-0.788469890714626,0.430421903667744,0.752006287351194,"NS"
"ENSMUSG00000000085","Scmh1",726.615690007386,0.231674968808354,0.185540119491648,1.24865160938296,0.211792527149426,0.576934378797665,"NS"
"ENSMUSG00000000088","Cox5a",1427.12062687741,-0.263522212018754,0.204500249400181,-1.28861560214078,0.197531756566708,0.556346887206671,"NS"
"ENSMUSG00000000093","Tbx2",15.2424714130254,0.547586213385269,0.663270115907467,0.825585534840625,0.409039243478468,NA,"NS"
"ENSMUSG00000000127","Fer",234.458035237594,0.320872613428156,0.236885309524297,1.35454838492315,0.175561487783891,0.527162162037277,"NS"
"ENSMUSG00000000131","Xpo6",1129.82663069603,0.0477763228810208,0.108671110948568,0.439641432428462,0.660196827453783,0.880056055873813,"NS"
"ENSMUSG00000000134","Tfe3",661.986340921115,-0.217349159750916,0.178075679561192,-1.22054376143054,0.222258810746137,0.588864045362007,"NS"
"ENSMUSG00000000142","Axin2",10.4881184455816,0.668991507924177,3.95397070024281,0.16919485718068,0.865643374849631,NA,"NS"
