p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
9.384022852256264e-139,-0.879114873631508,0.967,0.994,1.920721797399812e-134,Tmsb10
1.0266137601078438e-136,-0.7273694587312018,0.92,0.977,2.1012730441887345e-132,Eef1g
2.1531512273112309e-131,-0.6946556663296457,0.903,0.964,4.4070699320606275e-127,Sec61b
3.534367608347727e-131,2.1705857582308687,0.798,0.589,7.234143620766127e-127,Thbs1
7.21419536206954e-130,-0.5593741025739121,0.995,1,1.4766015067083933e-125,Ftl1
7.409790881082763e-130,0.5837302973951708,1,1,1.51663599754002e-125,Sparc
5.156111529538887e-128,2.0095306951644294,0.528,0.187,1.0553529078660194e-123,Anxa8
4.522698200042689e-127,1.4573857599100681,0.685,0.32,9.257058675847375e-123,mt-Nd3
2.035772499361492e-126,2.7118063363863496,0.517,0.194,4.166819151693102e-122,Matn4
2.0967438126193496e-126,1.618262317864045,0.593,0.236,4.2916152356692846e-122,Col8a2
4.06987173890285e-126,-0.8183311627049705,0.899,0.981,8.330213475186354e-122,Postn
1.121084786976069e-125,-1.5383239998914107,0.358,0.731,2.294636341982618e-121,Cxcl12
1.4573070332405394e-125,1.0983295090071623,0.998,0.983,2.982816035636736e-121,Dcn
9.965653278338635e-125,-0.7179881891041366,0.907,0.961,2.039769913010352e-120,Ybx1
1.060842377851829e-124,-1.1780878767697596,0.435,0.772,2.1713321789871236e-120,Cdk4
1.4209966565387234e-124,2.1153410979608878,0.441,0.126,2.908495956603459e-120,Tmbim1
6.631318360923926e-124,0.5396373422026877,0.99,0.972,1.3572982421139093e-119,Rps21
2.80544428940679e-123,-0.553301508044012,0.983,0.988,5.742183371557818e-119,Rpl3
2.1539343955562585e-122,2.3082208217910516,0.689,0.37,4.4086729208245496e-118,Comp
8.940756248640978e-122,1.0841508688145454,0.886,0.753,1.8299939889718354e-117,Emp1
6.004436712435071e-121,-0.9256388486700222,0.644,0.881,1.2289881063012104e-116,Rcn1
1.692673044462839e-119,1.9426357428730663,0.652,0.329,3.464563187406539e-115,Crabp2
1.137680763610792e-118,0.6351755895023616,0.99,0.976,2.328604986958569e-114,Ppic
2.3079964519450376e-118,-0.558163417542966,0.935,0.978,4.7240071378411026e-114,Arf5
4.609441558262926e-118,2.196944198710777,0.604,0.27,9.434604981452557e-114,Cryab
