p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
5.233235085626819e-31,2.035801389225794,1,1,1.386231641831688e-26,Tnfaip6
5.247745807921941e-31,-1.9773498277558033,1,1,1.390075387060443e-26,Dpysl2
6.17838636773044e-31,-1.068024607901223,1,1,1.636592764948116e-26,Prex2
9.465135618057382e-31,-1.816393823298636,1,1,2.50721977386722e-26,Pid1
1.233429100775046e-30,-1.6046626737539365,1,1,3.2672303450430195e-26,Ablim1
1.5383327954178118e-30,3.375001259598859,1,1,4.0748897417822415e-26,Cthrc1
1.8495064285251422e-30,1.5142860957228468,1,1,4.899157578520249e-26,Rbm3
2.171476451182587e-30,-0.9278447083466534,1,1,5.752023971537554e-26,Lama3
2.7922581070778027e-30,-1.4154286884864629,1,1,7.396412499838392e-26,Kctd16
3.943270808944698e-30,-1.3630741154452983,1,1,1.044533004581361e-25,Syngr1
5.383291093011913e-30,-3.869647030731116,1,1,1.4259799776279257e-25,Fmod
7.000227136347613e-30,-4.538476592624197,1,1,1.8542901661471194e-25,Gsn
7.259779974407285e-30,-1.3350712723646292,1,1,1.9230431174207458e-25,Rims1
7.668949297364108e-30,-2.9501314884872887,1,1,2.0314279793787786e-25,Apod
8.6518853225793e-30,-1.3022680404805111,1,1,2.291797903098031e-25,D630003M21Rik
1.0605686258970268e-29,-1.490080478571394,1,1,2.809340233138634e-25,Klf13
1.5452600068132723e-29,-1.4695564455067975,1,1,4.093239232047677e-25,Emp2
2.313220006792537e-29,-1.3113566686613587,1,1,6.1274884759927515e-25,Sept4
2.4010929506375315e-29,-1.5024497988527636,1,1,6.360255116943757e-25,Cacna2d1
2.4040452042304753e-29,-0.9480061285815684,1,1,6.368075341486106e-25,Vipr2
2.4329827244377864e-29,-2.213064776388995,1,1,6.444727938763252e-25,Rarres2
2.5402273490663633e-29,-5.334542467807369,1,1,6.7288082249418895e-25,Angptl7
3.1433814816300477e-29,-2.0280368571176806,1,1,8.326503206689833e-25,Itgbl1
3.869359439720753e-29,-0.9985035102878551,1,1,1.0249546219876302e-24,Syt7
3.967803621613294e-29,-1.2246631984414726,1,1,1.0510315013291455e-24,Gab3
4.024410248329947e-29,-0.9093265073361658,1,1,1.0660260306801196e-24,Sult1a1
6.424777568851882e-29,-2.0808294434770565,1,1,1.7018593302131748e-24,Atf5
8.049289344321075e-29,-0.89330650309228,1,0.75,2.1321762544172095e-24,Ppl
2.9935925134885535e-28,-1.546446263025104,1,1,7.929727208979829e-24,Jcad
3.524308343284586e-28,-1.6347590746134961,1,1,9.33554037052654e-24,Hexb
6.103961894502664e-28,0.9995703637545628,1,1,1.6168784662348108e-23,Rps19
6.851297481786751e-28,-0.9835603494819511,1,1,1.8148401899504927e-23,Arhgap20
8.03155710837879e-28,-1.1841750553883381,1,1,2.1274791624384577e-23,Yjefn3
9.419219651659365e-28,-1.416694646143663,1,1,2.4950570935280492e-23,Lrp5
9.964509322933048e-28,-1.4314633436573425,1,1,2.639498874551735e-23,Ubl3
1.0378234296426099e-27,-1.132318629075742,1,1,2.749090482780309e-23,Cyba
1.3801815708688326e-27,-1.4778377594043746,1,1,3.6559629630744506e-23,Sgip1
2.1926589322568458e-27,2.4855375500055317,1,1,5.808134245655159e-23,Hif1a
2.5047535002146825e-27,0.8523952474150098,1,1,6.634841546718672e-23,Sec61g
3.1607099471074157e-27,2.4097596681844498,1,1,8.372404578892833e-23,Tpm2
4.3253032704738414e-27,-1.4261110990075525,1,1,1.145729583315816e-22,Rasa1
4.3699389498549844e-27,1.2612575994226995,1,1,1.1575531284270868e-22,Fstl1
5.116489996299834e-27,-2.5593922075410673,1,1,1.355307035119863e-22,Plpp3
5.170029800755011e-27,-2.3579588974195564,1,1,1.369489193921995e-22,Id2
8.226576615464946e-27,-1.08442587064603,1,1,2.1791378796705095e-22,Trpc3
8.279015177481556e-27,-1.2538349979690468,1,1,2.1930283303630896e-22,Pstpip1
1.0919590746465742e-26,-1.1957059282689322,1,1,2.8924903928313105e-22,Chil1
1.135792056488501e-26,-1.4862050428215103,1,1,3.0085995784323906e-22,Elmo1
1.246977349232985e-26,-1.5421244218505856,1,1,3.3031183003832537e-22,Atp6v0a4
